"DATE";"COUNTY";"VACCINE_COUNT";"NEW_VACCINE_COUNT";"RECIPIENT_COUNT";"NEW_RECIPIENT_COUNT";"RECIP_FULLY_VACC";"NEW_RECIP_FULLY_VACC";"id"
"2021-02-23";"MONROE";6684;187;"4477";"145";"2189";"38";"20210223_MONROE"
"2021-04-09";"PERRY";3393;31;"2029";"21";"1366";"11";"20210409_PERRY"
"2021-04-15";"SEVIER";41269;884;"26956";"263";"15653";"598";"20210415_SEVIER"
"2021-04-23";"POLK";8062;72;"4754";"10";"3458";"58";"20210423_POLK"
"2021-04-30";"LOUDON";43078;345;"24708";"117";"19940";"230";"20210430_LOUDON"
"2021-05-03";"SEVIER";51121;148;"30039";"58";"22367";"89";"20210503_SEVIER"
"2021-05-15";"SHELBY";595844;9001;"342542";"3162";"260434";"5828";"20210515_SHELBY"
"2021-05-28";"HUMPHREYS";9923;40;"5422";"13";"4698";"27";"20210528_HUMPHREYS"
"2021-05-28";"JEFFERSON";37807;131;"20624";"65";"17888";"73";"20210528_JEFFERSON"
"2021-05-30";"MACON";9791;25;"5285";"12";"4624";"11";"20210530_MACON"
"2021-06-01";"BENTON";10725;6;"5759";"0";"4951";"6";"20210601_BENTON"
"2021-06-01";"CROCKETT";8642;12;"4644";"7";"4128";"4";"20210601_CROCKETT"
"2021-06-02";"TIPTON";28890;42;"16024";"5";"13564";"38";"20210602_TIPTON"
"2020-12-25";"CHEATHAM";305;35;"";"";"";"";"20201225_CHEATHAM"
"2020-12-27";"HAYWOOD";130;5;"";"";"";"";"20201227_HAYWOOD"
"2020-12-29";"HUMPHREYS";170;28;"";"";"";"";"20201229_HUMPHREYS"
"2021-01-25";"KNOX";35540;1208;"26195";"648";"9293";"574";"20210125_KNOX"
"2021-02-04";"BLEDSOE";1401;42;"890";"11";"509";"31";"20210204_BLEDSOE"
"2021-02-11";"DICKSON";6754;199;"4912";"167";"1835";"32";"20210211_DICKSON"
"2021-02-14";"SMITH";2600;14;"1772";"9";"827";"5";"20210214_SMITH"
"2021-04-24";"MCMINN";22221;140;"13545";"62";"9251";"74";"20210424_MCMINN"
"2021-04-28";"CLAY";3279;23;"1801";"10";"1481";"13";"20210428_CLAY"
"2021-04-29";"OVERTON";9589;41;"5464";"19";"4238";"16";"20210429_OVERTON"
"2021-04-30";"SUMNER";96542;1227;"56737";"316";"41098";"918";"20210430_SUMNER"
"2021-05-10";"TROUSDALE";4979;13;"2886";"6";"2519";"7";"20210510_TROUSDALE"
"2021-05-15";"STEWART";7172;50;"3870";"18";"3367";"33";"20210515_STEWART"
"2021-05-18";"GREENE";42422;188;"22921";"108";"19951";"83";"20210518_GREENE"
"2021-05-22";"UNION";9704;24;"5308";"17";"4592";"7";"20210522_UNION"
"2021-05-26";"RHEA";18047;118;"10441";"37";"9194";"80";"20210526_RHEA"
